RateOn,RateOff,mean,lower,upper,color,,,,,
0,0,3.206305,3.094727,3.317108,red,,,,,
0.01,0.01,2.593862,2.443083,2.747888,gray,,,,,
0.01,0.03,2.61621,2.472842,2.763994,gray,,,,,
0.01,0.1,2.734276,2.59744,2.873303,gray,,,,,
0.01,0.3,3.101146,2.980758,3.222198,gray,,,,,
0.01,1,3.170527,3.054731,3.285585,gray,,,,,
0.03,0.01,2.64326,2.494433,2.795698,gray,,,,,
0.03,0.03,2.617478,2.470073,2.768886,gray,,,,,
0.03,0.1,2.68467,2.545395,2.82708,gray,,,,,
0.03,0.3,2.979173,2.854647,3.10445,gray,,,,,
0.03,1,3.100704,2.982105,3.217807,gray,,,,,
0.1,0.01,2.741184,2.587832,2.895873,gray,,,,,
0.1,0.03,2.71216,2.560889,2.864682,gray,,,,,
0.1,0.1,2.620207,2.478461,2.766532,gray,,,,,
0.1,0.3,2.775705,2.64881,2.904171,gray,,,,,
0.1,1,3.02803,2.908366,3.148169,gray,,,,,
0.3,0.01,2.859078,2.698347,3.020634,gray,,,,,
0.3,0.03,2.848534,2.688646,3.00962,gray,,,,,
0.3,0.1,2.762318,2.609728,2.91705,gray,,,,,
0.3,0.3,2.667006,2.526911,2.810629,gray,,,,,
0.3,1,2.796068,2.675424,2.918679,gray,,,,,
1,0.01,2.873087,2.7098,3.037398,gray,,,,,
1,0.03,2.84832,2.687674,3.010302,gray,,,,,
1,0.1,2.833073,2.676155,2.992379,gray,,,,,
1,0.3,2.742949,2.592866,2.895426,gray,,,,,
1,1,2.685259,2.545457,2.826733,gray,,,,,