npeaks,cond,mean,lower,upper,meanfit,lower_fit,upper_fit
1,gen,1,1,1,2.20039,2.137707,2.268614
1,epi,1,1,1,2.224609,2.168913,2.287923
2,gen,0.5712681,0.518446,0.6238567,2.081978,2.049664,2.11429
2,epi,0.6146393,0.5594603,0.6690117,2.110823,2.076053,2.144854
3,gen,0.3876103,0.3527608,0.4229362,1.989434,1.969668,2.009234
3,epi,0.4340461,0.3956577,0.4728785,2.019901,1.998,2.041474
4,gen,0.2462585,0.2193048,0.27417,1.909532,1.892224,1.927048
4,epi,0.3137012,0.2826636,0.3453915,1.963545,1.94482,1.982251
5,gen,0.1690182,0.140198,0.1992076,1.868057,1.846733,1.889614
5,epi,0.2549056,0.2198497,0.2911156,1.930803,1.906244,1.955313
6,gen,0.1242307,0.08705576,0.16491934,1.802851,1.773114,1.832708
6,epi,0.2263155,0.1773335,0.2777912,1.896705,1.862362,1.931994
7,gen,0.05,0.01972,0.09018,1.801216,1.75034,1.847542
7,epi,0.1997168,0.1272842,0.2798338,1.949876,1.910575,1.993276